step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
244;0;1674569496630;244;128;675;969;6.66;0.48;128.62;0.06;431;0;0;279.00;0
244;0;1674569496632;244;123;676;969;6.84;0.49;128.62;0.06;432;0;0;280.00;0
245;0;1674569496634;245;122;679;969;6.89;0.50;128.40;0.06;434;0;0;281.00;0
245;0;1674569496636;245;127;682;969;6.89;0.50;128.40;0.06;437;0;0;282.00;0
245;0;1674569496637;245;118;684;969;7.01;0.50;128.40;0.06;439;0;0;283.00;0
245;0;1674569496639;245;113;685;969;7.13;0.51;128.40;0.06;440;0;0;284.00;0
246;0;1674569496641;246;115;687;969;7.25;0.52;128.47;0.06;441;0;0;285.00;0
246;0;1674569496643;246;110;690;969;7.39;0.53;128.47;0.06;444;0;0;286.00;0
246;0;1674569496645;246;104;693;969;7.56;0.54;128.47;0.06;447;0;0;287.00;0
247;0;1674569496647;247;101;695;969;7.64;0.55;128.63;0.06;448;0;0;288.00;0
248;0;1674569496649;248;106;698;969;7.69;0.55;128.98;0.06;450;0;0;289.00;0
248;0;1674569496651;248;107;702;969;7.72;0.56;128.98;0.06;454;0;0;290.00;0
249;0;1674569496652;249;105;705;969;7.78;0.56;129.52;0.06;456;0;0;291.00;0
251;0;1674569496654;251;108;708;969;7.80;0.56;129.37;0.06;457;0;0;292.00;0
